"Subject" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
1 "LAYING" 0.27374201662 -0.0173161726816 -0.11552605296 -0.6164436254 -0.46970057066 -0.63133921884 0.8012374252 -0.1236407606 -0.05112083647 -0.9770615526 -0.9530376746 -0.9461078296 0.072357913258 0.0085836355866 -0.0265412065634 -0.6526044346 -0.57678326682 -0.7828624522 -0.0152478654596 -0.08366510472 0.075193268022 -0.7313695686 -0.7095212632 -0.642959830266 -0.086678567168 -0.04689295805 -0.06440368409 -0.707271469388 -0.7855971844 -0.76137908742 -0.54018985844 -0.65830770442 -0.54018985844 -0.65830770442 -0.6426809294 -0.6660067724 -0.63374408796 -0.72729517898 -0.757779727 -0.7752317166 -0.639644413068 -0.51887893915 -0.6879464512 -0.608354820626 -0.47879690344 -0.63141748098 -0.190465804518 0.017189448548 -0.0035346819908 -0.68366913278 -0.61434441308 -0.76617277402 -0.6517773858 -0.565035153606 -0.7989118916 -0.100927783052 -0.18292295836 -0.1046401487604 -0.677679455348 -0.730227597 -0.65511199786 -0.7494139882 -0.7002801492 -0.67257650602 -0.08290201468 -0.068375971602 -0.03821389788 -0.640181067938 -0.7231143318 0.122011859406 -0.6557382792 -0.6833396956 0.224441456004 -0.7342718794 -0.7736012846 0.0823494125 -0.782762319 -0.7830322366 0.17378517364 -0.0130231488556 0.031612877936 -0.1014614515 -0.00621283936 -0.598816598 0.16577183598 0.051729882456
1 "SITTING" 0.267557882 -0.0167655805712766 -0.102367676 -0.561739137597872 -0.418123789382979 -0.493611246276596 0.707904411702128 -0.0115503124255319 0.0520899862978723 -0.969166102553191 -0.954444717446808 -0.940250137446809 0.0987451145023404 -0.0122596214531915 0.0127847265708511 -0.58374740012766 -0.527510938031915 -0.686589284025106 -0.0460344933148936 -0.0428279708 0.0827899943531915 -0.709274588914894 -0.594577904 -0.559494549297872 -0.0974870985085106 -0.0283060812170213 -0.0499675754978723 -0.737593833617021 -0.736907613602128 -0.691570256829787 -0.471694518985106 -0.519184436857447 -0.471694518985106 -0.519184436857447 -0.572209429342128 -0.560734278595745 -0.538093008021277 -0.602114580634043 -0.724128004787234 -0.746911204446808 -0.570065651 -0.453714710340426 -0.55758193793617 -0.561609239229787 -0.438640819704255 -0.501733634255319 -0.217988874510638 0.000848315587234043 0.09827150674 -0.600467569510638 -0.55187777916383 -0.657679069319149 -0.603994062180851 -0.534209521021277 -0.714429765170213 -0.0956887314744681 -0.234508526778723 -0.117415531738298 -0.669198306978723 -0.623943438510638 -0.557502084829787 -0.724251092617021 -0.584169310297872 -0.602019950723404 -0.111238833497872 -0.151457973313404 -0.140282002395745 -0.493716478531915 -0.611649499708511 0.115857551861702 -0.537484537255319 -0.59567518887234 0.179014654619149 -0.636136983991489 -0.649570434170213 -0.0345137134340426 -0.74205679406383 -0.77195808806383 0.0895276603553191 0.033488411763617 -0.0517415191893617 0.0957304550638298 0.00992855993404256 -0.507454102340426 0.0827452587659574 -0.0396272061702128
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 -0.981225957924528 -0.976324063584906 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.98773444 -0.980645626981132 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.984278207358491 -0.981942928867925 -0.984278207358491 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 0.0865153619088679 0.117478948718868 0.244858585792453 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995073759245283 -0.987018226792453 -0.992349818113208 0.314182940150943 0.0391618954943396 0.138581478749057 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.987107727735849 -0.98234533 -0.120293020603774 -0.0447191978169811 0.100607635139623 -0.985356361132075 -0.982313804716981 0.284555290773585 -0.99254247754717 -0.992536003396226 0.422220102264151 -0.984617623396226 -0.978466072075472 -0.0286057725328302 -0.994815376981132 -0.994671123207547 0.334498734301887 -0.000222340747169812 0.021963782690566 -0.0337938382037736 -0.0279229321962264 -0.743407887924528 0.270175032830189 0.0122528503773585
1 "WALKING" 0.274554446461053 -0.0266918045706316 -0.0979728384736842 -0.575257746876842 -0.444903528720316 -0.558497382347368 0.547272469473684 0.0112778652421053 0.174800681406316 -0.940643811894737 -0.916613328906316 -0.909842331894737 0.0856773111842105 -0.00341117182736842 -0.00788663261031579 -0.617704282486316 -0.568770704704211 -0.711210447957895 -0.0211357274587368 -0.0805084868863158 0.112986979151579 -0.721190629578947 -0.702819158505263 -0.629967159946526 -0.0959128123905263 -0.0239388023103158 -0.0541373256494737 -0.736994822105263 -0.780318097389474 -0.752107449894737 -0.474007768802105 -0.555043165747368 -0.474007768802105 -0.555043165747368 -0.616085921347368 -0.586422591652632 -0.604786510842105 -0.672787418437895 -0.759657623947368 -0.776694824618947 -0.60860466299579 -0.485109513262105 -0.607050903128421 -0.564264115715789 -0.461874062530526 -0.569012154785263 -0.219729896605263 0.0352143637935789 0.0686503792589474 -0.63495930728 -0.586026351702105 -0.687747759115789 -0.634135864194737 -0.580625997532842 -0.733516528105263 -0.0061897489291579 -0.20486963454 -0.072967222768421 -0.672046745631579 -0.702733957578947 -0.62861514211579 -0.738253229157895 -0.706406645168421 -0.666171188094737 -0.104065886489474 -0.165281255425263 -0.00430645249368421 -0.54845739428421 -0.631306351369474 0.0688299166006316 -0.582242695242105 -0.595308160111579 0.162746215761368 -0.704700297168421 -0.711171536073684 -0.0181475014305263 -0.778901262115789 -0.7913771316 0.143914279608 -0.0577483143726316 0.000653371344210528 0.0148211720926316 0.0594084864094737 -0.356700462421053 0.0625192775157895 -0.129618110042105
1 "WALKING_DOWNSTAIRS" 0.275227275979592 -0.0175081103612245 -0.112460247983673 -0.695088731836735 -0.565136909306122 -0.676381843265306 0.810164405306122 -0.0130224568163265 0.133569247069388 -0.96006147244898 -0.962509850204082 -0.947166653265306 0.082360297377551 -0.0199109348867347 0.0145658123466735 -0.75141414724898 -0.699919057163265 -0.816361628367347 -0.0204901247489796 -0.0931456806367347 0.0971464611020408 -0.712222876795918 -0.775644637755102 -0.713646792020408 -0.0974592191734694 -0.0472756424030612 -0.0529682589346939 -0.770037974693878 -0.864646274897959 -0.816776206530612 -0.628088558244898 -0.691362923469388 -0.628088558244898 -0.691362923469388 -0.742131023122449 -0.740027652061224 -0.658446637020408 -0.717600315061224 -0.826698610408163 -0.852325624081633 -0.720338892244898 -0.613314305795918 -0.736816457346939 -0.687072488367347 -0.569156996693878 -0.671894507204082 -0.176213799263265 -0.0439480178979592 -0.0439542849081633 -0.762910873836735 -0.717116888183673 -0.807224005306122 -0.761898623020408 -0.701812987469388 -0.824152260408163 -0.0123713132591837 -0.212423518861224 -0.173264651085714 -0.695993250938776 -0.803211671632653 -0.72758541122449 -0.72042349877551 -0.763658563061224 -0.736809116367347 -0.161243506229184 -0.235487633320408 -0.121813256463265 -0.698230617346939 -0.736094297591837 0.0360105405777551 -0.739358147142857 -0.742332690612245 0.170924869749592 -0.760382548163265 -0.739039772755102 -0.129308984285714 -0.854209089795918 -0.860685206326531 0.141954203381633 0.010134517277551 0.048911430122449 0.0574786069481633 0.0354809600816327 -0.668055476142857 0.0839193174081633 -0.0758558948979592
1 "WALKING_UPSTAIRS" 0.275021394528302 -0.0175887418433962 -0.107335685377358 -0.725727443226415 -0.686806641509434 -0.711857250798113 0.718892069622642 -0.0210053736037736 0.093490580490566 -0.971086159056604 -0.972734729811321 -0.94175371509434 0.0887091553245283 -0.00682401177188679 -0.0319140346737736 -0.742576243928302 -0.75020628490566 -0.859074912075472 -0.0400506238113208 -0.0714467251754717 0.0773743682830189 -0.800505664018868 -0.734501409301887 -0.746669169622642 -0.0968729328679245 -0.067087996754717 -0.0605761319245283 -0.807389391509434 -0.87906442490566 -0.825731108113207 -0.690024100679245 -0.716488663490566 -0.690024100679245 -0.716488663490566 -0.766734431320755 -0.750697941471698 -0.685167556949057 -0.748915004150943 -0.848792771320755 -0.871642542075472 -0.721355586754717 -0.699844036943396 -0.775957657169811 -0.728024612698113 -0.699816558849057 -0.703852953584906 -0.135216311920755 0.029680560645283 0.0477648064584906 -0.74649225800566 -0.764159664377358 -0.846559905849057 -0.762242237811321 -0.752098295056604 -0.870294839811321 0.0589837101622642 -0.170234796157925 -0.0696916981264151 -0.771128405716981 -0.797936932641509 -0.740545306075472 -0.811631073037736 -0.706935733226415 -0.772768039584906 -0.0427970098713208 -0.299092870113208 -0.0449478071660377 -0.718217941741509 -0.760043156264151 0.124076080584906 -0.748075168943396 -0.755350349981132 0.216129573084906 -0.793011894150943 -0.764871661886792 -0.106872217018868 -0.872221999056604 -0.880034848490566 0.115499402167925 0.0282708655249057 -0.0208372639490566 -0.00216471020754717 0.0757107910188679 -0.531861021698113 0.0909642021188679 -0.0401564657792453
2 "LAYING" 0.279215229791667 -0.0210987217479167 -0.110676382333333 -0.44629020620625 -0.366966922979167 -0.584297376041667 0.923935280625 -0.144013201747917 -0.05521806300625 -0.969364675833333 -0.953103375 -0.9530586475 0.0464575198208333 0.0183452438229167 -0.00737090782625 -0.429682638 -0.4204601716925 -0.69631976375 -0.0491475602916667 -0.06432560758125 0.0697727360375 -0.619996295533333 -0.644389681041667 -0.510824721 -0.0844333386625 -0.024765153275 -0.0725037380333333 -0.614639476458333 -0.753299207708333 -0.638623248958333 -0.409045694183333 -0.458502242416667 -0.409045694183333 -0.458502242416667 -0.491912145045833 -0.404394903704167 -0.492442611416667 -0.554224192458333 -0.700250644583333 -0.720678059166667 -0.436291105545833 -0.369959689520833 -0.60965127375 -0.451423150145833 -0.409112913666667 -0.606740684166667 -0.213399641503958 0.02603321346875 0.054225679275 -0.452831762208333 -0.449334071014792 -0.669628595625 -0.457054705354167 -0.428230854666667 -0.722076191041667 -0.143648472458333 -0.262549768104167 -0.1574085055625 -0.539465485166667 -0.658731866458333 -0.508227763833333 -0.647165497854167 -0.640560310416667 -0.560857194375 -0.0859770789395833 -0.13072183781875 -0.162560120539583 -0.437582475895833 -0.556979472229167 0.105490183979167 -0.407046613333333 -0.4041524768125 0.108436352895833 -0.615518013145833 -0.594117489791667 -0.06752778933125 -0.7284937288125 -0.73087614375 0.083212056025 -0.01412012116875 0.0573141321666667 0.202480060833333 -0.0075967324375 -0.793670068541667 0.176812702645833 0.0602893265339583
2 "SITTING" 0.261112617173913 -0.0228289183369565 -0.113992107956522 -0.566875155413043 -0.501674930195652 -0.653527940726087 0.473122081956522 0.0590464020652174 -0.0191474239347826 -0.943093554130435 -0.962928125652174 -0.946434917608696 0.0859640243934783 0.0472377890454348 -0.0397755962943478 -0.59083764816087 -0.55333882991087 -0.800090523043478 -0.0552784962680435 -0.114401779152174 0.117383529582609 -0.677390337391304 -0.701606448043478 -0.676919528717391 -0.0700905193065217 -0.0363931383326087 -0.0533872918869565 -0.704265716086957 -0.827068195869565 -0.71944012673913 -0.527488587 -0.572646747456522 -0.527488587 -0.572646747456522 -0.611426498900848 -0.609092424673913 -0.59296814733913 -0.682000934782609 -0.770411277826087 -0.791301790434783 -0.596181251369565 -0.520190711484783 -0.709219730043478 -0.556962542413043 -0.52497769205 -0.652750753606522 -0.248005674023913 -0.0196951295 0.0598902449278261 -0.626292938956522 -0.575571455717391 -0.782323899565217 -0.5910619082 -0.559941386586956 -0.816526393478261 -0.11104578626087 -0.180244996521739 -0.130875948956522 -0.61961943673913 -0.744994359130435 -0.644700152956522 -0.697638454347826 -0.682090851956522 -0.719025810434783 -0.135206735934783 -0.210440261521739 0.0133548868391304 -0.56848861426087 -0.644592653776087 0.072187252026087 -0.599694104891304 -0.625015869414565 0.118520058941304 -0.715870043478261 -0.71587099673913 -0.00970968221739131 -0.791566607608696 -0.806660693913044 0.103652763847826 0.0163714224217391 0.00632946226086956 0.0633569299369565 -0.141189280130435 -0.35400575673913 0.0312651805869565 0.0448920213782609
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 0.896928566851852 -0.370062696851852 0.129747161222222 -0.986685818703704 -0.97419442037037 -0.945927078703704 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.981085715555556 -0.97105943962963 -0.982841446481482 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.979324000740741 -0.983447258518519 -0.973610118333333 -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518518 0.108519182924074 0.0623378066683333 0.104462499601852 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.983007923703704 -0.973520241111111 -0.984599905185185 0.331449281481482 -0.0569368291814815 0.0396498183462963 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.97103605037037 -0.969754295740741 -0.107416045074074 -0.171160370096296 0.000226810610740739 -0.964052166481482 -0.960519381481482 0.119649963903704 -0.977065295555556 -0.97516046 0.304871865218519 -0.961775904814815 -0.956788725740741 -0.0661266045796296 -0.977849827407407 -0.977754298148148 0.160662823925926 -0.013681915312963 0.0411822244577778 -0.0151035161722222 0.11232464912963 -0.627180076111111 0.337937911666667 -0.0678959805833333
2 "WALKING" 0.277302461135593 -0.0150488429067797 -0.108888909440678 -0.479491179915254 -0.286968984016949 -0.561653745610169 0.753682003220339 -0.0482472022033898 0.0664397477384746 -0.968344150169491 -0.948800997288136 -0.946629945762712 0.0828749840405932 0.00599181060898305 -0.0224460812274915 -0.527810799862712 -0.471780817074576 -0.723693367966102 -0.0873452261135593 -0.0250173702135593 0.088084415061017 -0.639363596525424 -0.627203342711864 -0.545145711542373 -0.0805629831847458 -0.0382896478186441 -0.0366518610847458 -0.657033016966102 -0.769609308135593 -0.615582592305085 -0.406234095264407 -0.480539830745763 -0.406234095264407 -0.480539830745763 -0.542243511674576 -0.523450353752542 -0.505421497338983 -0.597551881152542 -0.707798371864407 -0.740248374915254 -0.507984977220339 -0.35233966440678 -0.605609807389831 -0.470047480610169 -0.30004771720339 -0.576143987269492 -0.24736124259661 -0.0121251930694915 0.0828842511694915 -0.547087971984746 -0.507595054898305 -0.698734770742373 -0.550370120432424 -0.468351153474576 -0.747710403728814 -0.0881993904067797 -0.329881587288136 -0.155030981077966 -0.577804527254237 -0.656609138983051 -0.501549150338983 -0.66124198079661 -0.617727734745763 -0.604535208644068 -0.0738877358644068 -0.152179818169492 0.0125341858983051 -0.470127294186441 -0.568231160762712 0.125913944886441 -0.515657193389831 -0.538229864547458 0.195460634025424 -0.628956309220339 -0.647590385932203 0.0329473594169492 -0.739455323898305 -0.760583680169492 0.186975933508475 -0.0149438518135593 -0.0151639136074576 0.100727049983051 -0.0475837669830508 -0.551532019661017 0.0926486313559322 -0.025257041309661
